youtube,facebook,newspaper,sales
14.04,44.28,54.24,8.76
158.04,22.08,41.52,15.48
207,21.72,36.84,17.28
102.84,42.96,59.16,15.96
328.44,34.68,71.64,24.96
51.6,31.08,24.6,11.52
221.88,52.68,2.04,24.84
88.08,20.4,15.48,13.08
232.44,42.48,90.72,23.04
264.6,39.84,45.48,24.12
125.52,6.84,41.28,12.48
115.44,17.76,46.68,13.68
168.36,2.28,10.8,12.36
288.12,8.76,10.44,15.84
291.84,58.8,53.16,30.48
45.6,48.36,14.28,13.08
0.84,47.52,10.44,1.92
318.24,3.48,51.6,15.24
10.08,32.64,2.52,6.84
263.76,40.2,54.12,23.52
44.28,46.32,78.72,12.96
57.96,56.4,10.2,13.92
30.72,46.8,11.16,11.4
304.56,25.56,36,21.12
246,54.12,23.52,27.12
167.4,2.52,31.92,12.36
229.32,34.44,21.84,20.76
343.2,16.68,4.44,19.08
22.44,14.52,28.08,8.04
47.4,49.32,6.96,12.96
332.04,2.76,28.44,14.16
198.72,12,21.12,15.12
187.92,3.12,9.96,12.6
262.2,6.48,32.88,14.64
67.44,6.84,35.64,10.44
345.12,51.6,86.16,31.44
226.08,21.72,30.72,17.88
196.2,44.16,8.88,21.6
140.64,17.64,6.48,14.28
204.24,9.36,42.24,14.04
281.4,4.08,101.76,14.28
21.48,45.12,25.92,9.6
248.16,6.24,23.28,14.64
258.48,28.32,69.12,20.52
341.16,12.72,7.68,18
60,13.92,22.08,10.08
197.4,25.08,56.88,17.4
23.52,24.12,20.4,9.12
179.64,42.72,7.2,20.76
45.84,4.44,16.56,9.12
113.04,5.88,9.72,11.64
212.4,11.16,7.68,15.36
340.32,50.4,79.44,30.6
278.52,10.32,10.44,16.08
202.08,8.52,15.36,14.04
266.88,4.08,15.72,13.8
332.28,58.68,50.16,32.4
298.08,36.24,24.36,24.24
53.64,30.96,24.72,12.12






